,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Falling Down - Bonus Track","Lil Peep",36191,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
2,"I Love It (& Lil Pump)","Kanye West",27542,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"In My Mind",Dynoro,24227,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
4,"Promises (with Sam Smith)","Calvin Harris",23367,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
5,Happier,Marshmello,22227,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
6,"Zemes stunda",ansis,19454,https://open.spotify.com/track/7MSS9mAqAHHkUCa7HL0RbA
7,"Eastside (with Halsey & Khalid)","benny blanco",17112,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
8,Moonlight,XXXTENTACION,16768,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
9,Natural,"Imagine Dragons",16557,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
10,"Without Me",Halsey,16248,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
11,STOOPID,6ix9ine,15720,https://open.spotify.com/track/1jQvUmf16VE9WQCPuK2e8K
12,Better,Khalid,15373,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
13,"Lucky You (feat. Joyner Lucas)",Eminem,15242,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
14,SAD!,XXXTENTACION,15240,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
15,Thunderclouds,Sia,15053,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
16,"SICKO MODE","Travis Scott",15032,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
17,"Wake Up in the Sky","Gucci Mane",14852,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
18,"Be Alright","Dean Lewis",14836,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
19,"Lucid Dreams","Juice WRLD",14519,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
20,Morph,"Twenty One Pilots",14413,https://open.spotify.com/track/01vv2AjxgP4uUyb8waYO5Y
21,"My Blood","Twenty One Pilots",14196,https://open.spotify.com/track/5HeKOKc4phmLn8e4I7EkzD
22,Chlorine,"Twenty One Pilots",13905,https://open.spotify.com/track/23OXdR7YuUBVWh5hSnYJau
23,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",13316,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
24,"Better Now","Post Malone",13237,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
25,Nevermind,"Dennis Lloyd",13184,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
26,Shallow,"Lady Gaga",12749,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
27,"Mo Bamba","Sheck Wes",12747,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
28,"Venom - Music From The Motion Picture",Eminem,12607,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
29,Noticed,"Lil Mosey",12306,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
30,"Electricity (with Dua Lipa)","Silk City",12304,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
31,"Let You Love Me","Rita Ora",12011,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
32,"Jocelyn Flores",XXXTENTACION,11819,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
33,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",11237,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
34,REMEDY,Alesso,11118,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
35,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,11048,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
36,"I Got Love","MiyaGi & Endspiel",10990,https://open.spotify.com/track/5rwsJbBNa8SfPW4oFA1GjP
37,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",10798,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
38,"rockstar (feat. 21 Savage)","Post Malone",10736,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
39,Shotgun,"George Ezra",10527,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
40,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",10461,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
41,"Body (feat. brando)","Loud Luxury",10185,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
42,Killshot,Eminem,10159,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
43,Jumpsuit,"Twenty One Pilots",10137,https://open.spotify.com/track/1E1uGhNdBe6Dddbgs2KqtZ
44,"Nico and the Niners","Twenty One Pilots",10014,https://open.spotify.com/track/5SehvGGC53A7SZKCLXQcyt
