,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,öölaps!,Nublu,50180,https://open.spotify.com/track/70qZhu8T6VHpeugYFZCnVk
2,"Mina Ka",Nublu,36522,https://open.spotify.com/track/4WTIwGBQobHLNo320RhOWW
3,"Promises (with Sam Smith)","Calvin Harris",30562,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
4,"In My Mind",Dynoro,30295,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
5,"I Love It (& Lil Pump)","Kanye West",29974,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
6,"2 Quick Start",Nublu,29109,https://open.spotify.com/track/60mPI11SKSZFlLKzt3KXv5
7,"Lucky You (feat. Joyner Lucas)",Eminem,23117,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
8,"Eastside (with Halsey & Khalid)","benny blanco",21452,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
9,"Rulli Rulli Rulli - Nublu Remix",Öed,17419,https://open.spotify.com/track/5qdzvhnYpGt6rogTlOcJe3
10,Happier,Marshmello,16863,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
11,"In My Feelings",Drake,16681,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
12,"Body (feat. brando)","Loud Luxury",16098,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
13,"Be Alright","Dean Lewis",15911,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
14,"Lucid Dreams","Juice WRLD",15313,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
15,"Better Now","Post Malone",14326,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
16,"The Ringer",Eminem,14179,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
17,"Girls Like You (feat. Cardi B)","Maroon 5",13795,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
18,"Electricity (with Dua Lipa)","Silk City",13529,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
19,Natural,"Imagine Dragons",13454,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
20,breathin,"Ariana Grande",13312,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
21,Fall,Eminem,12833,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
22,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",12585,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
23,"I Got Love","MiyaGi & Endspiel",12527,https://open.spotify.com/track/5rwsJbBNa8SfPW4oFA1GjP
24,Rise,"Jonas Blue",12310,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
25,Youngblood,"5 Seconds of Summer",12263,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
26,Nevermind,"Dennis Lloyd",12239,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
27,"Happy Now",Zedd,12153,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
28,"Jackie Chan",Tiësto,12139,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
29,"Beautiful (feat. Camila Cabello)",Bazzi,11789,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
30,Thunderclouds,Sia,11562,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
31,SAD!,XXXTENTACION,11391,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
32,"SICKO MODE","Travis Scott",11372,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
33,Darkside,"Alan Walker",10560,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
34,"Not Alike (feat. Royce Da 5'9)",Eminem,10299,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
35,"No Brainer","DJ Khaled",10289,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
36,Kamikaze,Eminem,10254,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
37,Greatest,Eminem,10154,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
38,"God is a woman","Ariana Grande",10116,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
39,Trenažöör,5MIINUST,9885,https://open.spotify.com/track/6CUrRWNO3KlHuvuw8yESSU
40,"Solo (feat. Demi Lovato)","Clean Bandit",9796,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
41,"High On Life (feat. Bonn)","Martin Garrix",9552,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
42,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,9410,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
43,"rockstar (feat. 21 Savage)","Post Malone",9316,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
44,"Ocean (feat. Khalid)","Martin Garrix",9275,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
45,Shotgun,"George Ezra",9226,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
46,"Born To Be Yours",Kygo,9213,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
47,Moonlight,XXXTENTACION,9164,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
48,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",9101,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
49,"Jocelyn Flores",XXXTENTACION,8947,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
50,"Self Care","Mac Miller",8666,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
51,"Taste (feat. Offset)",Tyga,8394,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
52,"One Kiss (with Dua Lipa)","Calvin Harris",7959,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
53,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",7935,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
54,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",7797,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
55,REMEDY,Alesso,7608,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
56,"Stepping Stone",Eminem,7589,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
57,Normal,Eminem,7360,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
58,"Good Guy (feat. Jessie Reyez)",Eminem,7336,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU
59,"I Like It","Cardi B",7143,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
60,"Feels Like Summer","Childish Gambino",7137,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr
61,"Blah Blah Blah","Armin van Buuren",7059,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
62,Nonstop,Drake,7030,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
63,"Venom - Music From The Motion Picture",Eminem,7004,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
64,"Side Effects (feat. Emily Warren)","The Chainsmokers",6960,https://open.spotify.com/track/3OtQmFLS5b3pTgIf44GQFJ
65,"I'm a Mess","Bebe Rexha",6851,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
66,"Psycho (feat. Ty Dolla $ign)","Post Malone",6837,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
67,"Ignite (feat. SEUNGRI)",K-391,6762,https://open.spotify.com/track/0UMLejbZXf7YVgnfxURvVr
68,"no tears left to cry","Ariana Grande",6720,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
69,"Don’t Matter To Me (with Michael Jackson)",Drake,6422,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
70,"God's Plan",Drake,6278,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
71,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",6081,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
72,changes,XXXTENTACION,5949,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
73,"Nice Guy (with Jessie Reyez)",Eminem,5788,https://open.spotify.com/track/09FfQO3PqHO4HIJL511Ksi
74,"I Fall Apart","Post Malone",5777,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
75,"lovely (with Khalid)","Billie Eilish",5690,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
76,STARGAZING,"Travis Scott",5676,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
77,"Remind Me to Forget",Kygo,5643,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
78,Ladders,"Mac Miller",5643,https://open.spotify.com/track/39NDBdU5Xkm5pCFGa5kZtI
79,"High Hopes","Panic! At The Disco",5628,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
80,"Drew Barrymore","Bryce Vine",5609,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV
81,"Nagu Täna",Reket,5564,https://open.spotify.com/track/3c6WMt2C90LVT3XFmF7ZUP
82,"New Heights",NOËP,5495,https://open.spotify.com/track/3ICpGhrulCHC1rw0qvs27W
83,"Rozovoye Vino",Eldzhey,5427,https://open.spotify.com/track/4LDcQ9sLkKCie4XcKaEwJD
84,"San Francisco","Sander Mölder",5414,https://open.spotify.com/track/5PXIrziipQqtV3sm2UndCG
85,"Tie Me Down (with Elley Duhé)",Gryffin,5371,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
86,"Everybody Dies In Their Nightmares",XXXTENTACION,5275,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
87,"Want To","Dua Lipa",5256,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ
88,"Мокрые кроссы","Tima Belorusskih",5233,https://open.spotify.com/track/35poFvLMiXHPZsItZ0HiHZ
89,Believer,"Imagine Dragons",5090,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
90,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,5065,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
91,"Erootika Pood",5MIINUST,4975,https://open.spotify.com/track/0irG7UHJP2APS0hul5MCat
92,BEBE,6ix9ine,4959,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
93,"Paul - Skit","Paul Rosenberg",4892,https://open.spotify.com/track/0Uv5Kp8sEnriJjkX4oLfNI
94,"Look At Me!",XXXTENTACION,4870,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
95,"Rulli Rulli Rulli",Öed,4859,https://open.spotify.com/track/0NRH6DAR7c6j9z7036HBC2
96,2002,Anne-Marie,4837,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
97,"Lean Wit Me","Juice WRLD",4834,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
98,"8 Letters","Why Don't We",4828,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
99,"All For Love",Raaban,4827,https://open.spotify.com/track/5VGBgPVFO3e0lWz4WHYntQ
100,"Magic In The Hamptons (feat. Lil Yachty)","Social House",4801,https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp
101,SWISH,Tyga,4781,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
