,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Falling Down - Bonus Track","Lil Peep",1345650,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
2,"I Love It (& Lil Pump)","Kanye West",1209363,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"Be Alright","Dean Lewis",1087179,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
4,"In My Mind",Dynoro,1010639,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
5,"Sweet but Psycho","Ava Max",1009849,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
6,Happier,Marshmello,974579,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
7,"Promises (with Sam Smith)","Calvin Harris",863691,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
8,"Lucky You (feat. Joyner Lucas)",Eminem,820348,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
9,"Auf wiedersehen",Hov1,747292,https://open.spotify.com/track/0VchObTqyNU0oWVBjLTSVh
10,"Kär i din kärlek - Recorded at Spotify Studios Stockholm","Molly Sandén",737436,https://open.spotify.com/track/5an6BWQDhw4FnjZhdyOFuL
11,"Eastside (with Halsey & Khalid)","benny blanco",687927,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
12,"Lucid Dreams","Juice WRLD",666812,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
13,Gäller,Z.E,662956,https://open.spotify.com/track/1U9TNHyH61eVXxR5BXls2v
14,"High With Somebody","Sandro Cavazza",635426,https://open.spotify.com/track/6IhosQhN1ayHO4XP72XFXy
15,Better,Khalid,631455,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
16,"Om du lämnar mig nu","Norlie & KKV",629603,https://open.spotify.com/track/0L1dQD7v94waLO2azsFvbw
17,"Love Someone","Lukas Graham",585862,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ
18,REMEDY,Alesso,541858,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
19,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",530205,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
20,"Mer för varandra","Norlie & KKV",524496,https://open.spotify.com/track/5GC6b6Ukc7PfwG8VfYO3ar
21,"Taste (feat. Offset)",Tyga,522678,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
22,"In My Feelings",Drake,508252,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
